order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,136,Neo,212,Pants,Clothing,Internet Banking,32,2980,2021-07-05 23:56:16,Australia,Brisbane,www.tatacliq.com,66492,Y,
2,178,Joe Smith,276,Smartwatch,Electronics,UPI,28,7687,2021-09-26 11:55:17,Germany,Berlin,www.amazon.com,42222,N,Timeout
3,139,Mary Jane,235,External Hard Drive,Electronics,Invalid,13,3133,2021-04-05 03:00:56,UK,Manchester,www.flipkart.com,11692,N,Timeout
4,160,Neo,249,Chopping Board,Home & Kitchen,Card,26,7372,2021-04-19 02:56:34,Australia,Brisbane,www.flipkart.com,30487,N,Insufficient Funds
5,142,Neo,265,Pencils,Stationery,Wallet,13,2559,2021-10-29 11:51:59,India,Indore,www.flipkart.com,76785,Y,
6,183,Neo,286,Hoodies,Clothing,Card,25,6388,2021-07-06 16:09:26,USA,Chicago,www.flipkart.com,68324,Y,
7,190,Neo,279,Pens,Stationery,Internet Banking,10,8439,2021-11-01 10:18:36,USA,Chicago,www.flipkart.com,36191,Y,
8,148,Neo,208,Drone,Electronics,Internet Banking,10,4308,2021-10-25 06:43:17,USA,Boston,www.tatacliq.com,43099,Y,
9,128,Trinity,294,Measuring Cups,Home & Kitchen,Wallet,17,1030,2021-02-25 18:25:42,India,Mumbai,www.tatacliq.com,11517,Y,
10,139,Mary Jane,247,Camera,Electronics,Card,42,1293,2021-12-30 00:17:26,Germany,Berlin,www.ebay.in,80742,N,Timeout
11,115,Joe Smith,254,Eraser,Stationery,Internet Banking,10,7993,2021-08-25 10:58:07,USA,Boston,www.amazon.com,71366,Y,
12,134,Joe Smith,204,Self-Help,Books,Internet Banking,16,2604,2021-04-26 01:57:55,USA,New York,www.tatacliq.com,70548,Y,
13,132,Mary Jane,256,Binder,Stationery,Card,37,1083,2021-08-07 21:57:17,Germany,Munich,www.ebay.in,78520,Y,
14,141,Joe Smith,299,Comics,Books,Wallet,43,7370,2021-06-24 04:39:29,India,Mumbai,www.ebay.in,55076,Y,
15,137,Joe Smith,218,Microwave,Home & Kitchen,UPI,14,6177,2021-12-18 11:53:58,Australia,Brisbane,www.flipkart.com,80389,N,Insufficient Funds
16,182,John Smith,245,Swimwear,Clothing,Wallet,39,4726,2021-12-13 01:51:27,Germany,Munich,www.tatacliq.com,65677,N,Invalid CVV
17,175,Mary Jane,202,Swimwear,Clothing,Internet Banking,28,6155,2021-07-25 07:43:19,Australia,Melbourne,www.ebay.in,29272,Y,
18,187,Neo,284,Coats,Clothing,Internet Banking,46,1252,2021-04-04 13:13:45,Australia,Melbourne,www.tatacliq.com,90042,N,Insufficient Funds
19,190,Joe Smith,259,Headphones,Electronics,Wallet,44,1329,2021-11-25 16:30:47,Australia,Sydney,www.tatacliq.com,89049,N,Invalid CVV
20,109,Neo,262,Classics,Books,Wallet,36,6879,2021-03-05 15:18:50,Australia,Sydney,www.flipkart.com,41046,N,Timeout
21,167,John Smith,210,Camera,Electronics,Internet Banking,50,8126,2021-08-14 20:54:46,Australia,Brisbane,www.ebay.in,75928,Y,
22,161,Mary Jane,272,Cookbooks,Books,Card,26,3662,2021-03-16 00:24:08,Germany,Hamburg,www.ebay.in,62295,Y,
23,100,Trinity,292,Measuring Cups,Home & Kitchen,Card,43,2061,2021-02-18 13:47:39,India,Indore,www.amazon.com,29736,Y,
24,198,Joe Smith,281,Spatulas,Home & Kitchen,Invalid,35,3376,2021-07-23 11:31:20,UK,Oxford,www.flipkart.com,35872,Y,
25,111,Trinity,263,Skirts,Clothing,Internet Banking,9,8661,2021-11-16 07:16:49,Australia,Sydney,www.flipkart.com,44233,N,Timeout
26,154,John Smith,266,Shorts,Clothing,Invalid,31,3519,2021-01-21 21:42:02,India,Bengaluru,www.flipkart.com,91412,N,Insufficient Funds
27,103,John Smith,269,Hoodies,Clothing,Wallet,13,4961,2021-10-23 23:41:21,Germany,Hamburg,www.flipkart.com,27475,N,Invalid CVV
28,193,Mary Jane,249,Pens,Stationery,Wallet,15,5099,2021-08-17 14:42:00,UK,Oxford,www.ebay.in,34137,N,Timeout
29,178,Mary Jane,276,Oven Mitts,Home & Kitchen,Wallet,39,582,2021-06-05 11:48:02,Australia,Brisbane,www.tatacliq.com,76917,N,Insufficient Funds
30,188,Joe Smith,226,Portable Charger,Electronics,UPI,31,2577,2021-09-29 09:39:44,USA,Boston,www.tatacliq.com,23187,Y,
31,105,Joe Smith,280,Binder,Stationery,UPI,42,9222,2021-04-21 07:30:20,UK,Manchester,www.flipkart.com,38223,Y,
32,100,John Smith,291,Self-Help,Books,UPI,22,7273,2021-10-10 21:28:27,Germany,Hamburg,www.amazon.com,17211,N,Invalid CVV
33,103,Mary Jane,253,Skirts,Clothing,Internet Banking,2,4442,2021-07-16 14:00:51,USA,Chicago,www.amazon.com,89837,Y,
34,100,Mary Jane,249,Cutlery,Home & Kitchen,Card,16,7985,2021-03-08 01:25:51,Germany,Berlin,www.ebay.in,33786,N,Timeout
35,163,John Smith,270,Pressure Cooker,Home & Kitchen,Wallet,30,4133,2021-08-06 21:03:29,Australia,Melbourne,www.flipkart.com,11847,Y,
36,100,Trinity,271,Markers,Stationery,Wallet,4,473,2021-05-30 23:05:36,Germany,Berlin,www.tatacliq.com,66042,N,Timeout
37,145,Joe Smith,230,Binder,Stationery,Wallet,16,8234,2021-03-10 08:29:49,USA,New York,www.flipkart.com,41502,Y,
38,152,Mary Jane,300,File Folder,Stationery,Wallet,36,4072,2021-04-29 22:57:42,Australia,Sydney,www.amazon.com,57216,Y,
39,130,Trinity,284,Whiteboard Markers,Stationery,Card,45,889025,2021-06-27 09:26:33,Australia,Brisbane,www.flipkart.com,91316,Y,
40,197,Joe Smith,295,Portable Charger,Electronics,UPI,45,6546,2021-08-05 14:17:42,Germany,Hamburg,www.amazon.com,94019,N,Timeout
41,181,Mary Jane,275,File Folder,Stationery,Internet Banking,42,4296,2021-02-14 22:39:57,Australia,Sydney,www.ebay.in,10932,Y,
42,134,Joe Smith,278,Whiteboard Markers,Stationery,Card,27,1624,2021-11-26 00:46:03,UK,London,www.flipkart.com,50225,N,Invalid CVV
43,172,Neo,297,Whiteboard Markers,Stationery,UPI,44,3885,2021-12-07 03:54:54,UK,Oxford,www.flipkart.com,96118,Y,
44,110,John Smith,244,Chopping Board,Home & Kitchen,Internet Banking,10,7100,2021-10-27 11:23:54,UK,Oxford,www.amazon.com,32853,Y,
45,155,John Smith,286,Poetry,Books,Wallet,50,7089,2021-12-17 02:37:08,India,Bengaluru,www.tatacliq.com,96253,N,Timeout
46,151,John Smith,215,Kitchen Scale,Home & Kitchen,Card,20,4009,2021-08-17 01:31:35,USA,Chicago,www.tatacliq.com,98109,Y,
47,161,Mary Jane,272,Glasses,Home & Kitchen,Wallet,4,9461,2021-06-17 14:00:58,UK,London,www.flipkart.com,69600,Y,
48,161,Joe Smith,291,Mystery,Books,Card,34,4650,2021-09-11 13:40:39,India,Indore,www.ebay.in,22954,N,Timeout
49,121,John Smith,257,Spatulas,Home & Kitchen,Wallet,45,1805,2021-11-29 19:16:56,India,Bengaluru,www.flipkart.com,51606,N,Insufficient Funds
50,160,Trinity,296,Textbooks,Books,Card,23,517,2021-08-12 15:31:16,UK,London,www.ebay.in,65517,N,Timeout
51,157,John Smith,286,Non-fiction,Books,Card,42,6224,2021-10-22 16:23:09,Australia,Melbourne,www.tatacliq.com,26172,Y,
52,157,Neo,233,Coffee Maker,Home & Kitchen,Card,26,9244,2021-10-25 08:39:37,India,Indore,www.tatacliq.com,36769,N,Timeout
53,100,John Smith,244,Whiteboard Markers,Stationery,Internet Banking,34,9369,2021-12-12 01:27:51,Germany,Munich,www.amazon.com,65994,Y,
54,183,Joe Smith,282,Monitor,Electronics,Card,28,8767,2021-05-29 19:56:01,Australia,Melbourne,www.flipkart.com,87206,N,Invalid CVV
55,187,Joe Smith,230,Glasses,Home & Kitchen,UPI,10,5815,2021-01-26 16:44:34,USA,Boston,www.tatacliq.com,42633,Y,
56,152,John Smith,255,Pencils,Stationery,Internet Banking,6,9469,2021-03-06 03:14:56,Germany,Berlin,www.flipkart.com,25151,Y,
57,153,Neo,200,Cookbooks,Books,UPI,8,3449,2021-04-14 04:40:57,India,Bengaluru,www.tatacliq.com,92464,N,Invalid CVV
58,142,John Smith,224,Markers,Stationery,Card,8,4854,2021-01-02 15:00:21,Germany,Hamburg,www.tatacliq.com,38913,Y,
59,177,Mary Jane,209,Paper Clips,Stationery,Internet Banking,37,6302,2021-03-26 19:46:19,Germany,Munich,www.ebay.in,28300,N,Invalid CVV
60,152,Joe Smith,244,Pencils,Stationery,Wallet,36,6356,2021-07-25 22:43:05,USA,New York,www.tatacliq.com,13465,N,Invalid CVV
61,168,Trinity,213,Toaster,Home & Kitchen,Wallet,3,9060,2021-08-17 11:35:39,India,Bengaluru,www.tatacliq.com,36057,N,Insufficient Funds
62,148,John Smith,292,Mugs,Home & Kitchen,UPI,6,8971,2021-01-19 02:25:23,Germany,Berlin,www.flipkart.com,59675,N,Timeout
63,141,Neo,213,Stapler,Stationery,UPI,15,3914,2021-01-03 21:07:05,UK,Oxford,www.flipkart.com,59407,N,Invalid CVV
64,141,John Smith,228,Socks,Clothing,UPI,25,3589,2021-09-15 14:40:14,UK,London,www.flipkart.com,36043,N,Invalid CVV
65,144,Mary Jane,219,Highlighters,Stationery,Wallet,39,9360,2021-02-21 07:04:45,Germany,Munich,www.tatacliq.com,19225,N,Invalid CVV
66,120,Trinity,239,Calculator,Stationery,Card,45,1877,2021-03-20 05:23:43,UK,Oxford,www.tatacliq.com,51152,N,Insufficient Funds
67,181,John Smith,286,Suits,Clothing,Wallet,35,8209,2021-12-03 09:24:46,Germany,Munich,www.amazon.com,34077,N,Timeout
68,134,Neo,227,Tablet,Electronics,UPI,7,329,2021-11-12 07:12:28,Australia,Sydney,www.ebay.in,97781,N,Timeout
69,147,Joe Smith,257,Fiction,Books,UPI,45,2539,2021-11-21 21:58:10,USA,New York,www.amazon.com,51955,N,Insufficient Funds
70,154,Mary Jane,236,Smart TV,Electronics,Internet Banking,7,8186,2021-04-27 11:03:54,India,Indore,www.tatacliq.com,70833,N,Timeout
71,173,,230,Historical Fiction,Books,Wallet,30,387,2021-12-27 22:08:51,Germany,Berlin,www.ebay.in,35860,N,Invalid CVV
